sequence,length,count,up_count,down_count,up_probability
"15,24,3",3,35,29,6,0.828571
"13,5,5",3,35,27,8,0.771429
"6,10,14",3,35,21,14,0.6
"14,5,11",3,35,25,10,0.714286
"6,16,16",3,35,15,20,0.428571
"15,10,24",3,35,25,9,0.714286
"5,25,23",3,35,24,11,0.685714
"12,4,24",3,35,9,26,0.257143
"6,6,22",3,35,25,10,0.714286
"3,6,14",3,35,23,12,0.657143
"7,17,11",3,35,13,22,0.371429
"8,11,25",3,34,14,20,0.411765
"10,15,16",3,34,15,19,0.441176
"25,24,16",3,34,15,14,0.441176
"7,11,24",3,34,7,27,0.205882
"25,11,20",3,34,22,12,0.647059
"4,24,11",3,34,20,14,0.588235
"24,5,20",3,34,9,25,0.264706
"3,15,5",3,34,23,11,0.676471
"24,16,16",3,34,24,9,0.705882
"4,11,12",3,34,14,20,0.411765
"15,15,24",3,34,21,13,0.617647
"3,16,16",3,33,21,12,0.636364
"13,6,24",3,33,20,13,0.606061
"2,2,25",3,33,13,20,0.393939
"24,4,20",3,33,12,21,0.363636
"24,12,5",3,33,13,20,0.393939
"5,23,8",3,33,24,9,0.727273
"6,24,16",3,33,26,7,0.787879
"2,25,11",3,33,11,22,0.333333
"11,5,17",3,32,6,26,0.1875
"17,12,12",3,32,12,20,0.375
"16,10,15",3,32,18,14,0.5625
"24,16,10",3,32,20,12,0.625
"11,13,23",3,32,23,9,0.71875
"25,24,7",3,32,11,21,0.34375
"21,6,24",3,32,12,20,0.375
"14,14,5",3,32,29,3,0.90625
"25,10,21",3,32,13,19,0.40625
"10,11,5",3,32,19,13,0.59375
"5,20,4",3,32,7,25,0.21875
"17,12,25",3,32,12,20,0.375
"5,24,8",3,32,13,19,0.40625
"25,2,2",3,32,19,13,0.59375
"14,25,10",3,32,19,13,0.59375
"3,24,14",3,32,18,14,0.5625
"3,5,5",3,32,20,12,0.625
"25,24,13",3,32,11,21,0.34375
"16,2,15",3,32,7,25,0.21875
"12,24,10",3,31,7,24,0.225806
"10,6,16",3,31,12,19,0.387097
"25,4,11",3,31,21,10,0.677419
"11,4,12",3,31,6,25,0.193548
"25,23,5",3,31,11,20,0.354839
"8,4,5",3,31,13,18,0.419355
"24,22,25",3,31,18,13,0.580645
"13,24,5",3,31,11,20,0.354839
"6,14,5",3,31,21,10,0.677419
"24,8,25",3,31,8,23,0.258065
"8,25,11",3,31,23,8,0.741935
"4,11,25",3,31,11,20,0.354839
"25,7,17",3,31,6,25,0.193548
"3,18,15",3,31,29,2,0.935484
"11,4,2",3,31,19,12,0.612903
"24,5,17",3,30,19,11,0.633333
"16,16,18",3,30,19,8,0.633333
"10,13,24",3,30,18,12,0.6
"10,14,10",3,30,11,19,0.366667
"16,6,6",3,30,9,21,0.3
"17,7,7",3,30,6,24,0.2
"3,3,14",3,30,18,12,0.6
"5,17,7",3,30,7,23,0.233333
"17,7,12",3,30,5,25,0.166667
"6,6,2",3,30,19,11,0.633333
"15,11,5",3,29,11,18,0.37931
"7,17,17",3,29,13,16,0.448276
"3,2,10",3,29,19,10,0.655172
"6,16,25",3,29,16,13,0.551724
"2,25,6",3,29,11,18,0.37931
"11,4,20",3,29,13,16,0.448276
"14,6,6",3,29,7,22,0.241379
"6,25,5",3,29,13,16,0.448276
"15,25,5",3,29,25,4,0.862069
"10,10,9",3,29,13,16,0.448276
"11,25,23",3,29,5,24,0.172414
"4,23,23",3,29,20,9,0.689655
"15,5,23",3,29,7,22,0.241379
"12,11,4",3,29,9,20,0.310345
"25,10,2",3,29,8,21,0.275862
"15,6,25",3,29,21,8,0.724138
"24,25,16",3,29,21,8,0.724138
"15,6,10",3,28,19,9,0.678571
"17,5,5",3,28,9,19,0.321429
"5,5,13",3,28,9,19,0.321429
"11,11,20",3,28,6,22,0.214286
"12,25,17",3,28,11,17,0.392857
"24,15,5",3,28,18,10,0.642857
"24,3,14",3,28,16,12,0.571429
"6,14,6",3,28,7,21,0.25
"25,10,14",3,28,23,5,0.821429
"10,6,13",3,28,18,10,0.642857
"8,5,8",3,27,10,17,0.37037
"6,15,6",3,27,2,25,0.074074
"16,18,16",3,27,18,8,0.666667
"6,3,16",3,27,19,8,0.703704
"7,17,7",3,27,12,15,0.444444
"24,10,2",3,27,8,19,0.296296
"6,6,11",3,27,20,7,0.740741
"10,15,6",3,27,12,15,0.444444
"16,6,10",3,27,7,20,0.259259
"5,13,13",3,27,21,6,0.777778
"4,25,13",3,27,7,20,0.259259
"4,4,4",3,27,11,16,0.407407
"8,25,20",3,27,20,7,0.740741
"15,25,11",3,27,4,23,0.148148
"4,11,4",3,27,10,17,0.37037
"2,11,24",3,27,15,12,0.555556
"3,6,15",3,27,12,15,0.444444
"18,15,3",3,27,23,4,0.851852
"3,15,6",3,27,17,10,0.62963
"25,5,4",3,26,6,20,0.230769
"5,8,20",3,26,8,18,0.307692
"24,11,7",3,26,7,19,0.269231
"5,11,2",3,26,10,16,0.384615
"13,3,10",3,26,5,21,0.192308
"12,24,17",3,26,8,18,0.307692
"25,17,20",3,26,3,23,0.115385
"15,10,2",3,26,9,17,0.346154
"24,25,14",3,26,9,17,0.346154
"3,25,11",3,26,8,18,0.307692
"4,20,11",3,26,17,9,0.653846
"25,13,6",3,26,15,11,0.576923
"14,25,24",3,26,20,6,0.769231
"10,16,25",3,25,20,5,0.8
"1,10,3",3,25,20,5,0.8
"17,11,23",3,25,10,15,0.4
"23,24,8",3,25,15,10,0.6
"24,12,17",3,25,10,15,0.4
"11,20,11",3,25,20,5,0.8
"25,9,25",3,25,6,19,0.24
"11,8,25",3,25,14,11,0.56
"4,17,17",3,25,11,14,0.44
"12,4,20",3,25,6,19,0.24
"11,13,10",3,25,16,9,0.64
"25,14,14",3,25,19,6,0.76
"3,14,15",3,25,22,3,0.88
"25,25,16",3,25,14,11,0.56
"25,14,15",3,25,20,5,0.8
"10,24,2",3,25,7,18,0.28
"11,20,12",3,24,17,7,0.708333
