sequence,length,count,up_count,down_count,up_probability
"4,5,17",3,119,41,78,0.344538
"5,20,4",3,119,38,81,0.319328
"16,14,2",3,119,46,72,0.386555
"8,11,2",3,118,50,68,0.423729
"25,6,9",3,118,50,68,0.423729
"5,10,10",3,118,35,83,0.29661
"23,8,11",3,118,46,72,0.389831
"11,17,4",3,117,65,50,0.555556
"13,24,3",3,117,67,50,0.57265
"15,6,24",3,116,38,77,0.327586
"2,2,16",3,116,49,67,0.422414
"11,13,7",3,116,46,70,0.396552
"24,1,6",3,116,66,49,0.568966
"9,6,10",3,116,34,81,0.293103
"10,25,23",3,116,41,75,0.353448
"17,12,5",3,116,49,67,0.422414
"25,10,9",3,116,51,65,0.439655
"17,7,4",3,116,32,84,0.275862
"3,1,6",3,116,52,64,0.448276
"15,24,16",3,115,73,42,0.634783
"3,13,6",3,114,71,43,0.622807
"23,17,24",3,114,37,77,0.324561
"15,6,16",3,113,41,72,0.362832
"7,5,17",3,113,46,67,0.40708
"8,5,12",3,113,44,69,0.389381
"11,1,17",3,113,35,78,0.309735
"1,11,24",3,113,45,68,0.39823
"12,2,25",3,113,64,49,0.566372
"4,20,17",3,113,47,66,0.415929
"12,4,4",3,113,47,66,0.415929
"14,15,5",3,112,63,49,0.5625
"6,24,1",3,112,66,46,0.589286
"3,1,24",3,112,62,50,0.553571
"13,24,17",3,112,40,72,0.357143
"1,10,2",3,112,45,67,0.401786
"3,6,15",3,112,49,63,0.4375
"18,15,25",3,111,78,33,0.702703
"17,10,10",3,111,45,66,0.405405
"7,23,11",3,111,42,69,0.378378
"5,7,12",3,111,6,105,0.054054
"16,14,25",3,110,49,60,0.445455
"7,23,7",3,110,43,65,0.390909
"7,11,12",3,110,42,68,0.381818
"17,24,13",3,110,45,65,0.409091
"2,5,24",3,109,44,65,0.40367
"10,24,18",3,109,67,42,0.614679
"14,5,5",3,109,38,70,0.348624
"5,11,6",3,109,49,60,0.449541
"5,12,11",3,109,29,80,0.266055
"11,24,14",3,108,40,68,0.37037
"12,25,20",3,108,32,76,0.296296
"3,11,11",3,108,35,73,0.324074
"3,6,14",3,108,44,64,0.407407
"14,2,15",3,108,48,60,0.444444
"6,14,25",3,108,36,72,0.333333
"2,3,25",3,108,63,45,0.583333
"17,25,13",3,107,72,35,0.672897
"16,3,18",3,107,72,35,0.672897
"5,20,5",3,107,24,83,0.224299
"10,24,9",3,107,62,45,0.579439
"22,25,6",3,107,45,62,0.420561
